n,mergeSort,quickSort
611,0.0012401,0.0137578
612,0.0011751,0.0137125
613,0.0011421,0.0135987
614,0.0016684,0.0140378
615,0.0011447,0.0136699
616,0.0011483,0.0139739
617,0.0011546,0.0142595
618,0.0011681,0.0139359
619,0.0011882,0.0145848
620,0.0011449,0.0140785
621,0.0012183,0.0141563
622,0.0011635,0.0144348
623,0.0011953,0.0141615
624,0.0012897,0.0147174
625,0.0011542,0.0141361
626,0.0011574,0.0140993
627,0.0011753,0.016263
628,0.0011791,0.0149329
629,0.0011763,0.014854
630,0.0018231,0.0148863
631,0.0011725,0.0146905
632,0.002254,0.0180194
633,0.0018701,0.0193942
634,0.0016468,0.018759
635,0.0014789,0.0195176
636,0.0021466,0.0197515
637,0.0026085,0.0193732
638,0.0017463,0.0183119
639,0.0026307,0.0184418
640,0.0021156,0.0172143
641,0.0011927,0.0150142
642,0.0012229,0.0168338
643,0.0011974,0.0149638
644,0.0014154,0.0151355
645,0.001203,0.015491
646,0.0012021,0.0155094
647,0.001208,0.0156467
648,0.0012167,0.0156838
649,0.0012164,0.0157867
650,0.0012089,0.0157684
651,0.0012059,0.016528
652,0.0012108,0.0159639
653,0.0012859,0.0180982
654,0.0012764,0.0169967
655,0.0012778,0.0163338
656,0.0012224,0.0158165
657,0.0012541,0.0165169
658,0.0013342,0.0156738
659,0.0013002,0.0157379
660,0.0012324,0.0174154
661,0.0021054,0.0169327
662,0.0012632,0.0158383
663,0.0012347,0.0161588
664,0.0013201,0.0161715
665,0.0012452,0.0161403
666,0.0012246,0.0179897
667,0.0012844,0.016114
668,0.0012379,0.0164241
669,0.001229,0.0167225
670,0.0013164,0.0169804
671,0.0012497,0.0169454
672,0.0012493,0.0172964
673,0.0012517,0.0167495
674,0.0012812,0.0173561
675,0.0012443,0.0174122
676,0.0012591,0.0170584
677,0.0014597,0.0170892
678,0.0012708,0.0177941
679,0.0012918,0.0171882
680,0.0012651,0.0170319
681,0.0013342,0.0200702
682,0.0012888,0.0191375
683,0.002101,0.0196862
684,0.0012707,0.0198034
685,0.0019973,0.0213746
686,0.001306,0.0206353
687,0.002471,0.0208161
688,0.002235,0.0217807
689,0.0012906,0.0204488
690,0.0019104,0.0225187
691,0.0018918,0.0209624
692,0.0023422,0.0214944
693,0.0012957,0.0176182
694,0.0012726,0.0201902
695,0.0019796,0.0208795
696,0.0024972,0.0214428
697,0.0019148,0.0212822
698,0.0027879,0.0231986
699,0.0015603,0.0254335
700,0.0016604,0.022975
701,0.0018631,0.0177742
702,0.0013135,0.0195347
703,0.001441,0.0207058
704,0.0013362,0.0220138
705,0.0024711,0.0219661
706,0.0019182,0.0183014
707,0.0013042,0.0182014
708,0.0013278,0.0188653
709,0.0013283,0.018325
710,0.0013321,0.0184922
711,0.0013498,0.0188547
712,0.0013388,0.019286
713,0.0013773,0.0182419
714,0.0013909,0.0189121
715,0.0013394,0.0183402
716,0.0013376,0.0183877
717,0.0013524,0.0191419
718,0.001343,0.0186285
719,0.0013848,0.0188823
720,0.0013519,0.0192285
721,0.0013376,0.0186581
722,0.0014071,0.0194846
723,0.0013942,0.019459
724,0.001525,0.01948
725,0.0014687,0.0200103
726,0.0013646,0.0235328
727,0.0013667,0.019519
728,0.0014293,0.0195484
729,0.0013567,0.020358
730,0.0013535,0.0199339
731,0.0013803,0.020141
732,0.0014026,0.020308
733,0.0013808,0.0206093
734,0.0013909,0.0198479
735,0.0013777,0.0201166
736,0.001363,0.0212834
737,0.0013811,0.0201698
738,0.0013749,0.0199142
739,0.0013903,0.0203091
740,0.0014291,0.0203827
741,0.0014851,0.0200552
742,0.0014134,0.0204017
743,0.0013995,0.0202856
744,0.0013799,0.0204083
745,0.0013966,0.0204759
746,0.0014437,0.0210915
747,0.0013884,0.0208192
748,0.0014667,0.0225346
749,0.0015179,0.0207981
750,0.0014081,0.0214393
751,0.0015297,0.0211651
752,0.0015725,0.0208823
753,0.0014227,0.0211153
754,0.0014382,0.022528
755,0.0014235,0.0212352
756,0.0014711,0.022056
757,0.0014086,0.0216841
758,0.0014559,0.0214094
759,0.0014155,0.0215639
760,0.0015126,0.021265
761,0.0014209,0.0221581
762,0.001488,0.0214744
763,0.0015088,0.0216661
764,0.0015363,0.0225616
765,0.0015013,0.021629
766,0.0016963,0.0223735
767,0.0014327,0.022208
768,0.0014303,0.021848
769,0.0014846,0.0232222
770,0.002336,0.0222051
771,0.0014804,0.0236077
772,0.0014449,0.0223364
773,0.0014402,0.0232548
774,0.001457,0.022176
775,0.0014482,0.0226973
776,0.0015223,0.0226761
777,0.0014665,0.02241
778,0.0014546,0.0230043
779,0.0014542,0.0225472
780,0.001474,0.0224596
781,0.0017839,0.0228581
782,0.0014667,0.0225504
783,0.0015523,0.0231547
784,0.0014828,0.0227438
785,0.0014614,0.0239718
786,0.001495,0.0226513
787,0.0015504,0.0235558
788,0.0015413,0.023194
789,0.0015695,0.0252382
790,0.0015404,0.0259024
791,0.0014913,0.0239733
792,0.0015032,0.0235415
793,0.0015861,0.0238757
794,0.0014782,0.0234688
795,0.0015533,0.0242924
796,0.0015028,0.0236304
797,0.0015745,0.0238614
798,0.0014882,0.0235833
799,0.0014956,0.023547
800,0.0015776,0.0243564
801,0.0015249,0.0236755
802,0.001566,0.0244098
803,0.0014968,0.0239516
804,0.0015065,0.0238084
805,0.0015157,0.0242612
806,0.001537,0.0244988
807,0.0015568,0.0246403
808,0.0015076,0.0252431
809,0.0016473,0.0248218
810,0.0016633,0.0244518
811,0.00156,0.0244895
812,0.0018218,0.0249688
813,0.0015249,0.0244156
814,0.0015541,0.0256198
815,0.0015283,0.0246803
816,0.0015294,0.0244335
817,0.0015781,0.0262099
818,0.001523,0.0245857
819,0.0015999,0.0258613
820,0.0015351,0.0248852
821,0.0016471,0.0248329
822,0.0015329,0.025303
823,0.0016075,0.02524
824,0.0015387,0.0256763
825,0.0015894,0.0258364
826,0.0015528,0.0272466
827,0.0015584,0.0254332
828,0.0015793,0.0260747
829,0.0016905,0.0266697
830,0.0015712,0.0256824
831,0.0015835,0.0279048
832,0.0015602,0.0254783
833,0.0016262,0.0257633
834,0.0015587,0.0280813
835,0.0015683,0.0257169
836,0.0015824,0.0266221
837,0.0016392,0.0259124
838,0.0015841,0.0256556
839,0.0015924,0.0253796
840,0.0016,0.0252807
841,0.0020522,0.030309
842,0.003313,0.0320726
843,0.0032144,0.0300798
844,0.0031121,0.0310288
845,0.0016101,0.0259999
846,0.001848,0.0264531
847,0.0016539,0.0255605
848,0.0015972,0.0269808
849,0.0015988,0.0267686
850,0.0016236,0.0280458
851,0.0016172,0.027458
852,0.0016144,0.0267354
853,0.0016143,0.0277125
854,0.0016345,0.0269474
855,0.0016182,0.0277402
856,0.0017604,0.02702
857,0.0016242,0.0271933
858,0.0016243,0.02789
859,0.0016899,0.0279953
860,0.0016686,0.030578
861,0.0017799,0.0274332
862,0.0017419,0.0285966
863,0.0017463,0.0281586
864,0.0016257,0.0282245
865,0.0016312,0.0289329
866,0.0016897,0.0282504
867,0.0018078,0.0282956
868,0.0016517,0.0280848
869,0.0016435,0.0280813
870,0.001759,0.0300392
871,0.0016747,0.0280912
872,0.001716,0.0284535
873,0.0017174,0.0281672
874,0.0016628,0.0285164
875,0.001673,0.0301408
876,0.0016616,0.028791
877,0.0016584,0.0311504
878,0.0016722,0.0298136
879,0.0017078,0.0286651
880,0.0016509,0.0292079
881,0.001682,0.029533
882,0.0017399,0.0295334
883,0.0016687,0.0292412
884,0.0017327,0.0292032
885,0.0017298,0.029261
886,0.0017494,0.0292239
887,0.0017438,0.029673
888,0.0017794,0.0298523
889,0.0017069,0.0302467
890,0.0016899,0.0296043
891,0.0017228,0.0298785
892,0.0017109,0.0315322
893,0.0017022,0.030182
894,0.0017254,0.0314689
895,0.0016967,0.0288704
896,0.0016914,0.0298028
897,0.0018441,0.0309715
898,0.0017071,0.0288602
899,0.0017424,0.0293225
900,0.0017136,0.0294688
901,0.0017416,0.02938
902,0.0016985,0.0291491
903,0.0017262,0.0296235
904,0.0017477,0.0293011
905,0.0017179,0.0292026
906,0.0017567,0.029641
907,0.0020165,0.0302434
908,0.0017745,0.0318932
909,0.0018098,0.0305469
910,0.0017579,0.0305953
911,0.0018152,0.0307518
912,0.0017182,0.0307783
913,0.0017546,0.0306907
914,0.0017571,0.0309215
915,0.0017906,0.031038
916,0.0017636,0.031407
917,0.0017711,0.03079
918,0.0018333,0.0302834
919,0.0017328,0.0315117
920,0.001749,0.033789
921,0.0030337,0.0355616
922,0.0032756,0.0341395
923,0.0034283,0.0374731
924,0.00321,0.036154
925,0.0033759,0.0359585
926,0.0027337,0.0351139
927,0.0032941,0.0349506
928,0.0031685,0.0355922
929,0.0036223,0.03338
930,0.0032416,0.0352081
931,0.0035986,0.0349604
932,0.0030823,0.0362212
933,0.0022351,0.0350614
934,0.0029784,0.0367116
935,0.0033814,0.0381131
936,0.0035483,0.0330914
937,0.004041,0.0363288
938,0.0039601,0.036327
939,0.0024276,0.0364376
940,0.0032315,0.0350912
941,0.0030884,0.0367648
942,0.0024874,0.0328644
943,0.0018082,0.0322794
944,0.0017932,0.0327223
945,0.0018076,0.0346572
946,0.0036169,0.0351168
947,0.0028515,0.0372654
948,0.0036936,0.0386163
949,0.0031775,0.0381414
950,0.00288,0.0365093
951,0.0026629,0.0367011
952,0.0029373,0.036586
953,0.0030496,0.0369786
954,0.0038871,0.03543
955,0.0037335,0.0367352
956,0.0040323,0.0370611
957,0.0033364,0.0391989
958,0.0039724,0.0371025
959,0.0035018,0.0372644
960,0.0040469,0.0380566
961,0.0044865,0.0347338
962,0.0018472,0.0334614
963,0.00207,0.035731
964,0.0018452,0.0338423
965,0.0018494,0.0351477
966,0.0018483,0.0342852
967,0.0018601,0.0357863
968,0.0018512,0.0345721
969,0.0019384,0.0362003
970,0.0018652,0.0351064
971,0.0019222,0.0358986
972,0.0019516,0.0353457
973,0.0019833,0.039336
974,0.0019323,0.0354858
975,0.0019433,0.0363701
976,0.0018898,0.0354892
977,0.001858,0.0367255
978,0.0019216,0.0351878
979,0.0019425,0.0369595
980,0.001947,0.0354226
981,0.00188,0.037965
982,0.0019019,0.0355608
983,0.0018684,0.0368734
984,0.0018714,0.0361627
985,0.0018697,0.0395105
986,0.001945,0.0378815
987,0.0019717,0.0382927
988,0.0019056,0.0361701
989,0.0018959,0.0374419
990,0.001927,0.0367875
991,0.0019637,0.0377186
992,0.0018897,0.0363894
993,0.0019053,0.0380011
994,0.0019429,0.0366941
995,0.0020168,0.0377456
