n,mergeSort,quickSort
795,0.0015331,0.0243763
796,0.0016203,0.0233392
797,0.001544,0.0236297
798,0.0016264,0.024167
799,0.0015766,0.0237491
800,0.0015535,0.0232747
801,0.0015547,0.0255493
802,0.0015538,0.0236996
803,0.0015761,0.0235177
804,0.0016263,0.0247061
805,0.0017655,0.0246874
806,0.0016923,0.0245111
807,0.0015952,0.0280441
808,0.0015997,0.0245086
809,0.0015928,0.0251039
810,0.0016918,0.025702
811,0.0016119,0.0244467
812,0.0016178,0.0240589
813,0.0015916,0.0256759
814,0.001598,0.0243766
815,0.0016763,0.0249498
816,0.0015972,0.0251639
817,0.0016624,0.0245858
818,0.0016018,0.0249518
819,0.001611,0.0256543
820,0.001587,0.024938
821,0.0017223,0.0247103
822,0.0016109,0.0255812
823,0.0016117,0.0250912
824,0.0021845,0.026155
825,0.002261,0.0305358
826,0.0024455,0.0287798
827,0.0029579,0.0289326
828,0.0023412,0.0314739
829,0.0035269,0.029331
830,0.001886,0.0286944
831,0.0024196,0.0266178
832,0.0016408,0.0256407
833,0.0022471,0.0266525
834,0.0017938,0.0272695
835,0.0016429,0.0266039
836,0.0024345,0.030532
837,0.0016632,0.030608
838,0.0035012,0.026906
839,0.0016477,0.0276212
840,0.0016464,0.0270733
841,0.0024669,0.0312225
842,0.0025639,0.03216
843,0.0016625,0.0303938
844,0.0027706,0.0305398
845,0.0016993,0.0271132
846,0.0017013,0.0279357
847,0.001668,0.0260526
848,0.0016632,0.0270633
849,0.0017035,0.0266474
850,0.0016661,0.0286588
851,0.0031551,0.0315006
852,0.0027655,0.0310124
853,0.0026256,0.0301666
854,0.003163,0.0309044
855,0.0023187,0.0337699
856,0.0028425,0.0318991
857,0.0020419,0.0323162
858,0.0028196,0.0312732
859,0.0029443,0.029685
860,0.0022854,0.0316357
861,0.0029299,0.0313011
862,0.0024689,0.0318986
863,0.0024371,0.0310252
864,0.0025447,0.0318918
865,0.0023937,0.0309324
866,0.0021759,0.031787
867,0.0029181,0.032028
868,0.0036339,0.0330682
869,0.002262,0.0313438
870,0.0031805,0.0323538
871,0.0034456,0.0311701
872,0.0017064,0.0285793
873,0.0017215,0.0281176
874,0.0017442,0.0286651
875,0.0017199,0.0290994
876,0.0018368,0.0287456
877,0.0018212,0.028792
878,0.0017162,0.0288185
