n,mergeSort,quickSort
558,0.0011615,0.0007962
559,0.0011997,0.0007947
560,0.0011734,0.0008592
561,0.0012407,0.000787
562,0.0012315,0.0008024
563,0.001214,0.0007862
564,0.0011856,0.0007978
565,0.0011853,0.000799
566,0.0011843,0.0007937
567,0.0011879,0.0008308
568,0.0012436,0.0008649
569,0.0011925,0.0007994
570,0.0012653,0.0008027
571,0.0011985,0.0009019
572,0.0012683,0.0008026
573,0.0012354,0.0008611
574,0.0012613,0.0008155
575,0.001209,0.0008332
576,0.0012144,0.0008748
577,0.0012122,0.0009019
578,0.0012144,0.0008888
579,0.0012507,0.0008955
580,0.0012748,0.0008123
581,0.0012518,0.0008117
582,0.0012304,0.0009117
583,0.0012948,0.0009771
584,0.0012392,0.0008322
585,0.0012341,0.0008345
586,0.0012333,0.0008535
587,0.0013188,0.000877
588,0.0012395,0.0009062
589,0.0012868,0.0009328
590,0.0012777,0.0008736
591,0.0012462,0.0011158
592,0.0012481,0.0008377
593,0.0012884,0.0008723
594,0.0012528,0.0008412
595,0.0013215,0.0008479
596,0.0012613,0.000901
597,0.0014648,0.0009607
598,0.0012621,0.0009372
599,0.0012647,0.000871
600,0.0012982,0.0009592
601,0.0012701,0.0008745
602,0.0013026,0.0008661
603,0.0012762,0.000901
604,0.0012753,0.00091
605,0.0012872,0.0009242
606,0.0012872,0.0009146
607,0.0013132,0.0008928
608,0.0014688,0.0016881
609,0.001584,0.0011866
610,0.0015166,0.0009916
611,0.0013278,0.0010169
612,0.0012944,0.0009191
613,0.001344,0.0009004
614,0.0012972,0.0009037
615,0.001313,0.0009332
616,0.0013046,0.0009199
617,0.0013404,0.0008675
618,0.0013463,0.0009661
619,0.0013124,0.0008793
620,0.0013855,0.0008627
621,0.0013119,0.0009267
622,0.0013167,0.0009649
623,0.001354,0.0009564
624,0.0013232,0.0008985
625,0.0013187,0.0009181
626,0.0014719,0.000959
627,0.0013279,0.0009475
628,0.0013355,0.0009794
629,0.0013837,0.0009952
630,0.0018624,0.0012543
631,0.0015608,0.0010327
632,0.0014919,0.001005
633,0.001497,0.001022
634,0.0015378,0.0012747
635,0.0016439,0.0010212
636,0.0014652,0.0010167
637,0.001698,0.0015606
638,0.0015093,0.0012046
639,0.0015503,0.0016696
640,0.0014835,0.0010313
641,0.0014818,0.0010355
642,0.0014881,0.0010029
643,0.0015322,0.0010388
644,0.0021625,0.0011237
645,0.0016961,0.0011066
646,0.0014888,0.0010113
647,0.0014979,0.0010504
648,0.0014867,0.0010284
649,0.0015032,0.0010463
650,0.0014207,0.0013467
651,0.0014451,0.0010681
652,0.0013931,0.0009514
653,0.0014609,0.0010278
654,0.0016501,0.0009252
655,0.0013988,0.001171
656,0.0014674,0.0009637
657,0.0014048,0.0010439
658,0.0014111,0.000936
659,0.001539,0.0011341
660,0.0019939,0.0010253
661,0.0014114,0.0009569
662,0.0014827,0.0009391
663,0.0014167,0.0010027
664,0.0014693,0.001288
665,0.001726,0.0011809
666,0.0015766,0.0010729
667,0.001538,0.0010047
668,0.0014288,0.0010817
669,0.0018665,0.001055
670,0.0014301,0.0009554
671,0.0014626,0.0010065
672,0.0014359,0.000967
673,0.0016256,0.0013291
674,0.0019788,0.0010101
675,0.0014759,0.0010491
676,0.0015723,0.0010889
677,0.0015708,0.0010739
678,0.001565,0.0010588
679,0.0017632,0.0010092
680,0.0016256,0.0009988
681,0.0016036,0.0010619
682,0.0014587,0.0010373
683,0.0015256,0.0010209
684,0.0014916,0.0010154
685,0.001463,0.0010204
686,0.0014718,0.0010143
687,0.0015096,0.0010667
688,0.0016215,0.0009846
689,0.0015029,0.0010139
690,0.0015429,0.0010043
691,0.0015227,0.0010518
692,0.0014884,0.0010074
693,0.0015615,0.0010426
694,0.0015225,0.000993
695,0.0014908,0.0010241
696,0.0015395,0.0009844
697,0.0015367,0.0010093
698,0.0015023,0.0010392
699,0.0015324,0.0010039
700,0.0015381,0.0010481
701,0.0016724,0.0010732
702,0.0018481,0.0012176
703,0.0015111,0.0009865
704,0.001552,0.0010553
705,0.0015577,0.001068
706,0.0015166,0.0010379
707,0.0015245,0.0009982
708,0.0015531,0.0010217
709,0.0015261,0.0010462
710,0.0015308,0.0010239
711,0.0017365,0.0010627
712,0.0015321,0.0010952
713,0.0015343,0.0011187
714,0.0015824,0.0010349
715,0.0015814,0.0010882
716,0.0019871,0.0010753
717,0.0015423,0.0010491
718,0.0015399,0.0011158
719,0.0015483,0.0010629
720,0.0015468,0.0015686
721,0.0015557,0.0010447
722,0.0015907,0.001042
723,0.0015565,0.0010751
724,0.0015597,0.0010894
725,0.0036479,0.0010595
726,0.0015692,0.0010861
727,0.0015624,0.0010672
728,0.0016078,0.0010567
729,0.0021704,0.001061
730,0.00157,0.0010956
731,0.0015749,0.0011175
732,0.0016449,0.001055
733,0.0015832,0.0011445
734,0.0015836,0.0010944
735,0.0015793,0.0011424
736,0.0015847,0.001133
737,0.0015865,0.0011202
738,0.0019656,0.0021831
739,0.001766,0.0020654
740,0.003683,0.0019305
741,0.0031733,0.0022934
742,0.0033944,0.0022494
743,0.0024522,0.0020741
744,0.001652,0.0010885
745,0.0016064,0.0011493
746,0.0016086,0.0011153
747,0.0016157,0.0010791
748,0.001665,0.0011259
749,0.0016175,0.0011088
750,0.0016182,0.0010911
751,0.001688,0.0011176
752,0.001625,0.0011801
753,0.0016264,0.0010933
754,0.0016639,0.0011731
755,0.0016945,0.0011731
756,0.0016333,0.0011661
757,0.0016361,0.0011129
758,0.0016523,0.0011916
759,0.0017069,0.0010815
760,0.001646,0.0011064
761,0.0021879,0.0011598
762,0.0016931,0.0011898
763,0.0017836,0.0011595
764,0.0016526,0.0011836
765,0.0016527,0.0011685
766,0.0016882,0.0011087
767,0.001736,0.0013104
768,0.0016944,0.001405
769,0.0016842,0.0016321
770,0.0016652,0.0011767
771,0.0017052,0.0011581
772,0.0016681,0.0011801
773,0.0016695,0.0011781
774,0.0017125,0.0011163
775,0.0016839,0.0011276
776,0.0016787,0.0011769
777,0.0016907,0.0011256
778,0.0035786,0.002615
779,0.003706,0.0023083
780,0.004059,0.0014448
781,0.0038637,0.0019164
782,0.0026207,0.0020497
783,0.0038726,0.0023247
784,0.0039045,0.0017819
785,0.0031884,0.0022804
786,0.0035084,0.0020897
787,0.0038726,0.0017766
788,0.0028125,0.0017126
789,0.0037978,0.0019876
790,0.0037766,0.0022821
791,0.0023046,0.0022703
792,0.0039238,0.0018799
793,0.0039173,0.0016609
794,0.0036361,0.001734
795,0.003944,0.002009
796,0.0029217,0.0023659
797,0.0033536,0.0022809
798,0.0038452,0.0023803
799,0.0036066,0.0018021
800,0.0033478,0.0018245
801,0.0039713,0.0023358
802,0.0040521,0.0023988
803,0.0038548,0.0022716
804,0.0038473,0.0019132
805,0.0036281,0.0022983
806,0.0040747,0.0018836
807,0.0040094,0.0023291
808,0.0040597,0.0015816
809,0.0024013,0.002375
810,0.0023495,0.0022036
811,0.0038318,0.0023139
812,0.0035594,0.0025272
813,0.004161,0.0014333
814,0.0034942,0.0024412
815,0.0040523,0.0022102
816,0.0036453,0.0024363
817,0.004063,0.0024447
818,0.0018,0.0015545
819,0.0033172,0.0022698
820,0.0041325,0.0021697
821,0.004114,0.0023733
822,0.0040986,0.0015775
823,0.0025263,0.0023495
824,0.0037943,0.002354
825,0.0037361,0.0018275
826,0.0041396,0.0021144
827,0.004182,0.0020636
828,0.0037379,0.0018097
829,0.0039395,0.0024438
830,0.0041352,0.0024822
831,0.0035135,0.0018706
832,0.0034537,0.0016261
833,0.0032185,0.00242
834,0.0038957,0.0023455
835,0.0042083,0.0021921
836,0.0031451,0.0023678
837,0.0029626,0.0022553
838,0.0038416,0.00215
839,0.0030931,0.0012792
840,0.0018309,0.0013317
841,0.0018497,0.0012613
842,0.0018369,0.0014907
843,0.0018956,0.0012859
844,0.0018775,0.001308
845,0.0018447,0.0012493
846,0.0020225,0.0012458
847,0.0019241,0.0012816
848,0.0019183,0.001272
849,0.0018598,0.0013081
850,0.0019529,0.0012281
851,0.0018567,0.001346
852,0.0019319,0.0012855
853,0.0022623,0.0012574
854,0.0019045,0.0013273
855,0.0018687,0.0013754
856,0.0019054,0.0012739
857,0.0019016,0.0013597
858,0.0020944,0.0013217
859,0.0019643,0.0017644
860,0.0023064,0.0016762
861,0.0019535,0.0013273
862,0.001917,0.0012696
863,0.0019998,0.0013882
864,0.0018852,0.0013528
865,0.001907,0.0012834
866,0.0018945,0.001297
867,0.0020146,0.0013464
868,0.0019676,0.0013462
869,0.0019442,0.0014223
870,0.001917,0.0012932
871,0.0019911,0.0013002
872,0.0020622,0.0013358
873,0.0019795,0.0013744
874,0.0019888,0.0013777
875,0.0019544,0.0013671
876,0.0021728,0.0013526
877,0.0019651,0.0013542
878,0.0019382,0.0014752
879,0.0019257,0.0013666
880,0.0019303,0.0013035
881,0.0019317,0.0013003
882,0.0020001,0.001482
883,0.0019686,0.0013517
884,0.0019362,0.001356
885,0.0019412,0.0014244
886,0.0019451,0.0014255
887,0.0021311,0.0013196
888,0.0019527,0.0013508
889,0.0019909,0.0013493
890,0.0019926,0.0014191
891,0.0019896,0.0013728
892,0.0019951,0.001496
893,0.0019667,0.0013611
894,0.0020299,0.0014046
895,0.0020017,0.0014002
896,0.0019912,0.0014955
897,0.0020017,0.0013899
898,0.0020072,0.0013993
899,0.0020199,0.0014359
900,0.0019969,0.0014361
901,0.0019811,0.0014907
902,0.0020133,0.0013496
903,0.0019775,0.0014703
904,0.0020061,0.0014134
905,0.0040163,0.0014272
906,0.0020084,0.0013914
907,0.0020426,0.0014014
908,0.0020499,0.0013803
909,0.0020449,0.0013915
910,0.0020664,0.0014119
911,0.0021568,0.0014543
912,0.0020571,0.0014215
913,0.0020281,0.0014577
914,0.0020683,0.0014647
915,0.0022035,0.0015721
916,0.0020129,0.0014159
917,0.0021887,0.0013519
918,0.0021359,0.001427
919,0.0025041,0.0014166
920,0.0020756,0.0015188
921,0.0020569,0.0014349
922,0.0020794,0.0014372
923,0.0020549,0.0014357
924,0.0020516,0.0014518
925,0.0020825,0.0013932
926,0.0020987,0.0014124
927,0.0020915,0.0014744
928,0.0021267,0.0015125
929,0.0020905,0.0014333
930,0.0020445,0.0014717
931,0.0020879,0.0016669
932,0.0020551,0.0013936
933,0.0021067,0.0015278
934,0.0020856,0.001506
935,0.0021633,0.0014181
936,0.0021231,0.0014161
937,0.0022501,0.0014228
938,0.0022361,0.0014537
939,0.0021132,0.0014623
940,0.0028165,0.001507
941,0.0021416,0.0014056
942,0.0021054,0.0014716
943,0.0020756,0.0028369
944,0.0021465,0.0015618
945,0.0021194,0.0014475
946,0.0020878,0.00156
947,0.0020988,0.00152
948,0.0020805,0.0014208
949,0.0020909,0.001425
950,0.0021469,0.0014351
951,0.0021338,0.001528
952,0.0021689,0.0015176
953,0.0021381,0.0015055
954,0.0021427,0.0014146
955,0.0021428,0.0014997
956,0.0021028,0.0014507
957,0.0021126,0.0016105
958,0.0021227,0.001649
